Sample	x	y	name
Nac_Sal_1	-5.04980894959484	11.9898887299247	Nac_Sal_1
Nac_Sal_2	-10.1427095608939	-5.12084987743975	Nac_Sal_2
Nac_Sal_3	58.180913217045	-1.50529881938368	Nac_Sal_3
Nac_Sal_4	-0.743447561761918	18.9857513192449	Nac_Sal_4
Nac_Sal_5	-11.2082741924446	-20.3145490023056	Nac_Sal_5
Nac_Sal_6	-4.33546687285611	16.2957220535611	Nac_Sal_6
Nac_Sal_7	25.3170781135578	-19.9835565127754	Nac_Sal_7
Nac_Sal_8	2.74289786984752	16.7548579377523	Nac_Sal_8
Nac_oxy_1	-12.7466388944224	-34.6417911562945	Nac_oxy_1
Nac_oxy_2	-6.58405841398006	9.40384670626341	Nac_oxy_2
Nac_oxy_3	-6.27102049728522	10.374287193132	Nac_oxy_3
Nac_oxy_4	-9.63370422132804	-5.77424047360426	Nac_oxy_4
Nac_oxy_5	-2.44793639110477	-2.37505882171204	Nac_oxy_5
Nac_oxy_6	-4.26408191564609	14.8177463093998	Nac_oxy_6
Nac_oxy_7	-9.50354878317682	-11.4469408198729	Nac_oxy_7
Nac_oxy_8	-3.31019294595546	2.5401852341099	Nac_oxy_8
