Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Nac_Sal_1_1	0.3345252405812784	1.094916977369761
Nac_Sal_1_2	0.320466698227847	0.48460956129232124
Nac_Sal_2_1	7.425947913907607	12.610845433952441
Nac_Sal_2_2	7.325419086987647	9.96238834621198
Nac_Sal_3_1	3.24577601056207	12.73099595337717
Nac_Sal_3_2	3.2048673935874366	5.836755130146139
Nac_Sal_4_1	0.40095489701997844	2.0206059065307547
Nac_Sal_4_2	0.13599178883947435	0.6963117476462531
Nac_Sal_5_1	0.5734445466407962	4.643786274145376
Nac_Sal_5_2	0.5426380755631658	4.200699118282415
Nac_Sal_6_1	0.9186151756899633	2.584809772681537
Nac_Sal_6_2	0.9076419127033303	0.9571325118741759
Nac_Sal_7_1	0.4277472955827388	13.639587036651529
Nac_Sal_7_2	1.254929283618017	6.114806272707877
Nac_Sal_8_1	0.4916194418703338	1.4641888626643373
Nac_Sal_8_2	0.47718880133815506	0.20867465716926908
Nac_oxy_1_1	2.000180146297514	33.75749423558701
Nac_oxy_1_2	1.9480927010750697	30.110905057914195
Nac_oxy_2_1	3.0888443112185944	3.301716240306346
Nac_oxy_2_2	3.0789721672871075	1.1474727792463573
Nac_oxy_3_1	0.2990584654726448	1.5984000164993013
Nac_oxy_3_2	0.1390618412711124	0.25884141854468823
Nac_oxy_4_1	0.1241506566980282	0.0
Nac_oxy_4_2	0.16289310342844945	0.2419252640065421
Nac_oxy_5_1	0.22044348267505567	3.7693466702099103
Nac_oxy_5_2	0.25440373995726423	1.0663762674728714
Nac_oxy_6_1	0.8996833188144114	3.0205560149438653
Nac_oxy_6_2	0.8966991198719613	1.3643105555028656
Nac_oxy_7_1	0.18913871385762399	0.532181794302109
Nac_oxy_7_2	0.18636791710689474	0.14555684737428362
Nac_oxy_8_1	0.5691378994695083	3.055960548533777
Nac_oxy_8_2	0.5511320366985009	2.8291453174020544
